Date,Close,Open,High,Low
10-03-2021,26010.1,25862.05,26136.55,25782.3
12-03-2021,25888.25,26060.45,26298,25819.9
15-03-2021,26032.05,25859.15,26094.15,25651.8
16-03-2021,26363.85,26132.45,26602.65,26111.1
17-03-2021,26183.5,26378.2,26657.1,26113.75
18-03-2021,25373.35,26365.9,26395.95,25012.5
19-03-2021,25562.75,25273.35,25687.4,25028.3
22-03-2021,26035.35,25649.05,26102.8,25418.45
23-03-2021,26105.7,26105.7,26315.8,25928
24-03-2021,25802.95,25863.55,26114.6,25738.15
25-03-2021,25237.1,25739.8,25766,25131.4
26-03-2021,25385.1,25475.3,25687.05,25276.6
30-03-2021,26121.1,25531.1,26306.65,25429.2
31-03-2021,25855,26130.6,26130.6,25788
01-04-2021,25980.4,26039.85,26289.1,25855.35
05-04-2021,26491.4,26035.5,26630.8,25978.95
06-04-2021,26532.2,26715.2,26715.2,26403.45
07-04-2021,26831,26514.95,26899.2,26401.7
08-04-2021,27148.4,26899.5,27413.55,26845.85
09-04-2021,27367.05,27322.05,27520.1,27109.95
12-04-2021,26727.8,27504.4,27524.6,26545.65
13-04-2021,25851.3,26737.7,26759.2,25513.4
15-04-2021,26010.85,25577,26084.15,25293.3
16-04-2021,26324.9,26183.45,26476.65,26131.2
19-04-2021,26236.9,26012.4,26524.65,25875.9
20-04-2021,25877.6,26495.6,26496.5,25736.45
22-04-2021,25826.7,25902.6,26055,25718.6
23-04-2021,25609.1,25746.45,25926.05,25531.95
26-04-2021,25680.3,25633.1,25887.1,25521.2
27-04-2021,25815.75,25737.2,25871.45,25686.95
28-04-2021,25962.1,25952.65,25992.5,25781.15
29-04-2021,25874.3,26162.2,26162.2,25827.15
30-04-2021,25664.45,25777.75,26154.3,25593.9
03-05-2021,25676.05,25544.85,25785.6,25427.9
04-05-2021,25489,25783.2,25801.25,25398.95
05-05-2021,25786.95,25670.55,25857.65,25564.6
06-05-2021,26258.7,25868.25,26387.65,25639.6
07-05-2021,26269.45,26378.8,26454.1,26180.25
10-05-2021,26273.45,26340.6,26390.8,26106.35
11-05-2021,26106.7,26098.9,26146.5,25968.1
12-05-2021,25855.45,26105.2,26105.2,25728.45
14-05-2021,25588.2,25896.2,25901.2,25461.95
