Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
21,3,GRU,0.0017378986928671726,0.041688112128845226,0.9495603323149283,41.64573803353185,Discrete
21,5,LSTM,0.05228253456872202,0.2286537438327263,-0.5203296404860491,7.659980535422434,Continuous
21,5,SimpleRNN,0.006510324405656283,0.08068658132339158,0.8106855521686903,37.734773359081814,Continuous
21,5,GRU,0.013759062582261268,0.11729903061091881,0.5998986881246442,27.26816277088891,Continuous
21,5,LSTM,0.004537590528495863,0.06736163988870715,0.8680509000994738,38.57109839708151,Discrete
21,5,SimpleRNN,0.03183382772808995,0.17842036803036238,0.07430058117159799,12.364055515799198,Discrete
21,5,GRU,0.006482879589502084,0.08051633119747871,0.8114836230315724,37.74377474444877,Discrete
21,8,LSTM,0.011920041591747334,0.10917894298694843,0.6525992015122656,31.234733089774483,Continuous
21,8,SimpleRNN,0.0008436617200277893,0.02904585547075158,0.9754121029750344,45.13457728938228,Continuous
21,8,GRU,0.0071736340712024674,0.08469730852395764,0.7909297391948749,37.532560120016676,Continuous
21,8,LSTM,0.011675772640037415,0.10805448921741945,0.6597182394968762,31.853915048049313,Discrete
21,8,SimpleRNN,0.003944958737525321,0.06280890651432583,0.8850270945055851,38.935445319370864,Discrete
21,8,GRU,0.006466221644671841,0.08041282015121619,0.8115467513038788,37.749124915462005,Discrete
21,14,LSTM,0.00941522899521164,0.09703210291038548,0.7226754409434677,37.00951432793588,Continuous
21,14,SimpleRNN,0.0010083341734153952,0.031754278033288605,0.9702996251959168,44.15403979051734,Continuous
21,14,GRU,0.006979180424315638,0.08354148923927343,0.7944289900188658,37.58817640843826,Continuous
21,14,LSTM,0.006362858353292737,0.0797675269347918,0.8125826904408271,37.78300415621906,Discrete
21,14,SimpleRNN,0.009220934829201843,0.09602569879569657,0.7283983547401823,37.04742575662642,Discrete
21,14,GRU,0.011737587009060477,0.10834014495587717,0.654270635017921,31.69361535155949,Discrete
21,21,LSTM,0.010255969244312605,0.10127175936218648,0.6943285744649639,36.02431408362501,Continuous
21,21,SimpleRNN,0.007016547075851182,0.08376483197530561,0.7908771081584041,37.57635379484134,Continuous
21,21,GRU,0.0014872649585624793,0.03856507433627581,0.955673190002573,42.2952902806355,Continuous
21,21,LSTM,0.005026111426410325,0.0708950733578175,0.8502005409717129,38.31851767926424,Discrete
21,21,SimpleRNN,0.008449389435863595,0.09192056046317165,0.7481723226506999,37.209043743263116,Discrete
21,21,GRU,0.004158358030601988,0.06448533190270472,0.8760632762423647,38.794488606754236,Discrete
21,55,LSTM,0.004714821144666246,0.06866455522805232,0.8483494602892386,38.470634690896915,Continuous
21,55,SimpleRNN,0.0019423663775514257,0.0440722858217205,0.9375244785679857,41.209173576009576,Continuous
21,55,GRU,0.019717737470635953,0.14041986138234133,0.36578601021169455,19.40101453680481,Continuous
21,55,LSTM,0.008656154913869542,0.09303845932661149,0.7215778660038228,37.15660706572609,Discrete
21,55,SimpleRNN,0.002149573542611887,0.04636349364113847,0.9308597340423309,40.833184526848406,Discrete
21,55,GRU,0.005262111080831413,0.07254040998527243,0.8307460747840201,38.205388606036955,Discrete
55,3,LSTM,0.009639733909809824,0.09818214659402097,0.7167904473896273,36.96731385462152,Continuous
55,3,SimpleRNN,0.02099828702640049,0.14490785702093759,0.3830830259454331,18.302317436736807,Continuous
55,3,GRU,0.020099968851920672,0.1417743589367297,0.40947507065086775,19.07141919098978,Continuous
55,3,LSTM,0.0035045656149527505,0.05919937174457809,0.897037981629926,39.26303637977355,Discrete
55,3,SimpleRNN,0.09950260769497393,0.3154403393590838,-1.9233264395588425,3.765611003281836,Discrete
55,3,GRU,0.002412583972475849,0.04911806157083002,0.9291197419065149,40.429409788371444,Discrete
55,5,LSTM,0.08789692643993682,0.29647415813176164,-1.593899704278555,4.385345881471543,Continuous
55,5,SimpleRNN,0.06880983968372517,0.2623162970227454,-1.0306264398111278,5.7714568265315584,Continuous
55,5,GRU,0.020545823625196392,0.14333814434823827,0.3936783914512202,18.68062681332461,Continuous
55,5,LSTM,0.00788825992106443,0.08881587651464365,0.7672119389691813,37.342153387992276,Discrete
55,5,SimpleRNN,0.040048534146309545,0.20012129858240862,-0.18186022067436247,9.928270690816246,Discrete
55,5,GRU,0.007932846995444526,0.08906653128669896,0.7658961432555711,37.33115270638575,Discrete
55,8,LSTM,0.2356330071527699,0.4854204436905907,-5.9919808568189845,0.10399218751901751,Continuous
55,8,SimpleRNN,0.0035244202272343757,0.05936682766692503,0.8954192408866064,39.24661431954368,Continuous
55,8,GRU,0.0075196431370400125,0.08671587592269372,0.7768682685859617,37.43626066557302,Continuous
55,8,LSTM,0.016075697174092216,0.12678997268748116,0.522982929007064,23.538580744747122,Discrete
