Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
5,21,LSTM,0.01105318,0.105134105,0.511389935,33.49825085,Discrete
14,14,LSTM,0.011057288,0.105153639,0.511526426,33.48650397,Continuous
3,14,SimpleRNN,0.011971062,0.10941235,0.470388158,31.04829991,Discrete
14,55,SimpleRNN,0.012530587,0.111940103,0.434058638,29.72404335,Discrete
14,55,LSTM,0.01267031,0.11256247,0.427748079,29.41212421,Continuous
3,14,LSTM,0.012817749,0.1132155,0.432929864,29.09415279,Discrete
14,14,SimpleRNN,0.014155286,0.11897599,0.374667336,26.4749037,Discrete
5,55,LSTM,0.015491259,0.124463886,0.303207015,24.29673293,Continuous
8,55,LSTM,0.015634069,0.125036269,0.295249465,24.08526843,Continuous
5,5,SimpleRNN,0.016364658,0.127924425,0.270079894,23.06482988,Discrete
